event_idx,t_s,dt_s,bpm_from_dt
19,0.665000,,
60,2.100000,1.435000,41.811847
119,4.165000,2.065000,29.055690
161,5.635000,1.470000,40.816327
218,7.630000,1.995000,30.075188
294,10.290000,2.660000,22.556391
343,12.005000,1.715000,34.985423
395,13.825000,1.820000,32.967033
498,17.430000,3.605000,16.643551
545,19.075000,1.645000,36.474164
638,22.330000,3.255000,18.433180
684,23.940000,1.610000,37.267081
755,26.425000,2.485000,24.144869
819,28.665000,2.240000,26.785714
888,31.080000,2.415000,24.844720
974,34.090000,3.010000,19.933555
1042,36.470000,2.380000,25.210084
1084,37.940000,1.470000,40.816327
1145,40.075000,2.135000,28.103044
1190,41.650000,1.575000,38.095238
1245,43.575000,1.925000,31.168831
1289,45.115000,1.540000,38.961039
1341,46.935000,1.820000,32.967033
1388,48.580000,1.645000,36.474164
1453,50.855000,2.275000,26.373626
1551,54.285000,3.430000,17.492711
