event_idx,t_s,dt_s,bpm_from_dt
23,0.805000,,
101,3.535000,2.730000,21.978022
155,5.425000,1.890000,31.746032
246,8.610000,3.185000,18.838305
319,11.165000,2.555000,23.483366
449,15.715000,4.550000,13.186813
506,17.710000,1.995000,30.075188
577,20.195000,2.485000,24.144869
668,23.380000,3.185000,18.838305
754,26.390000,3.010000,19.933555
837,29.295000,2.905000,20.654045
918,32.130000,2.835000,21.164021
1016,35.560000,3.430000,17.492711
1072,37.520000,1.960000,30.612245
1125,39.375000,1.855000,32.345013
1198,41.930000,2.555000,23.483366
1269,44.415000,2.485000,24.144869
1325,46.375000,1.960000,30.612245
1394,48.790000,2.415000,24.844720
1466,51.310000,2.520000,23.809524
