event_idx,t_s,dt_s,bpm_from_dt
39,1.365000,,
110,3.850000,2.485000,24.144869
152,5.320000,1.470000,40.816327
208,7.280000,1.960000,30.612245
276,9.660000,2.380000,25.210084
328,11.480000,1.820000,32.967033
374,13.090000,1.610000,37.267081
440,15.400000,2.310000,25.974026
505,17.675000,2.275000,26.373626
582,20.370000,2.695000,22.263451
635,22.225000,1.855000,32.345013
717,25.095000,2.870000,20.905923
787,27.545000,2.450000,24.489796
864,30.240000,2.695000,22.263451
907,31.745000,1.505000,39.867110
971,33.985000,2.240000,26.785714
1034,36.190000,2.205000,27.210884
1101,38.535000,2.345000,25.586354
1170,40.950000,2.415000,24.844720
1245,43.575000,2.625000,22.857143
1322,46.270000,2.695000,22.263451
1384,48.440000,2.170000,27.649770
1462,51.170000,2.730000,21.978022
1529,53.515000,2.345000,25.586354
1578,55.230000,1.715000,34.985423
