event_idx,t_s,dt_s,bpm_from_dt
54,1.890000,,
158,5.530000,3.640000,16.483516
230,8.050000,2.520000,23.809524
313,10.955000,2.905000,20.654045
389,13.615000,2.660000,22.556391
467,16.345000,2.730000,21.978022
547,19.145000,2.800000,21.428571
632,22.120000,2.975000,20.168067
674,23.590000,1.470000,40.816327
730,25.550000,1.960000,30.612245
772,27.020000,1.470000,40.816327
836,29.260000,2.240000,26.785714
910,31.850000,2.590000,23.166023
979,34.265000,2.415000,24.844720
1083,37.905000,3.640000,16.483516
1150,40.250000,2.345000,25.586354
1223,42.805000,2.555000,23.483366
1314,45.990000,3.185000,18.838305
1357,47.495000,1.505000,39.867110
1430,50.050000,2.555000,23.483366
1497,52.395000,2.345000,25.586354
