event_idx,t_s,dt_s,bpm_from_dt
63,2.205000,,
161,5.635000,3.430000,17.492711
243,8.505000,2.870000,20.905923
319,11.165000,2.660000,22.556391
392,13.720000,2.555000,23.483366
473,16.555000,2.835000,21.164021
542,18.970000,2.415000,24.844720
636,22.260000,3.290000,18.237082
704,24.640000,2.380000,25.210084
807,28.245000,3.605000,16.643551
874,30.590000,2.345000,25.586354
942,32.970000,2.380000,25.210084
1029,36.015000,3.045000,19.704433
1096,38.360000,2.345000,25.586354
1162,40.670000,2.310000,25.974026
1255,43.925000,3.255000,18.433180
1321,46.235000,2.310000,25.974026
1400,49.000000,2.765000,21.699819
1458,51.030000,2.030000,29.556650
1538,53.830000,2.800000,21.428571
