event_idx,t_s,dt_s,bpm_from_dt
13,0.455000,,
83,2.905000,2.450000,24.489796
181,6.335000,3.430000,17.492711
293,10.255000,3.920000,15.306122
416,14.560000,4.305000,13.937282
508,17.780000,3.220000,18.633540
603,21.105000,3.325000,18.045113
674,23.590000,2.485000,24.144869
771,26.985000,3.395000,17.673049
899,31.465000,4.480000,13.392857
997,34.895000,3.430000,17.492711
1115,39.025000,4.130000,14.527845
1235,43.225000,4.200000,14.285714
1329,46.515000,3.290000,18.237082
1428,49.980000,3.465000,17.316017
1514,52.990000,3.010000,19.933555
