event_idx,t_s,dt_s,bpm_from_dt
49,1.715000,,
97,3.395000,1.680000,35.714286
145,5.075000,1.680000,35.714286
195,6.825000,1.750000,34.285714
305,10.675000,3.850000,15.584416
395,13.825000,3.150000,19.047619
464,16.240000,2.415000,24.844720
539,18.865000,2.625000,22.857143
641,22.435000,3.570000,16.806723
704,24.640000,2.205000,27.210884
750,26.250000,1.610000,37.267081
837,29.295000,3.045000,19.704433
881,30.835000,1.540000,38.961039
924,32.340000,1.505000,39.867110
967,33.845000,1.505000,39.867110
1026,35.910000,2.065000,29.055690
1106,38.710000,2.800000,21.428571
1204,42.140000,3.430000,17.492711
1271,44.485000,2.345000,25.586354
1317,46.095000,1.610000,37.267081
1388,48.580000,2.485000,24.144869
1465,51.275000,2.695000,22.263451
1545,54.075000,2.800000,21.428571
