event_idx,t_s,dt_s,bpm_from_dt
76,2.660000,,
178,6.230000,3.570000,16.806723
258,9.030000,2.800000,21.428571
327,11.445000,2.415000,24.844720
370,12.950000,1.505000,39.867110
467,16.345000,3.395000,17.673049
550,19.250000,2.905000,20.654045
628,21.980000,2.730000,21.978022
712,24.920000,2.940000,20.408163
754,26.390000,1.470000,40.816327
832,29.120000,2.730000,21.978022
940,32.900000,3.780000,15.873016
982,34.370000,1.470000,40.816327
1059,37.065000,2.695000,22.263451
1128,39.480000,2.415000,24.844720
1203,42.105000,2.625000,22.857143
1281,44.835000,2.730000,21.978022
1349,47.215000,2.380000,25.210084
1410,49.350000,2.135000,28.103044
1475,51.625000,2.275000,26.373626
