event_idx,t_s,dt_s,bpm_from_dt
64,2.240000,,
159,5.565000,3.325000,18.045113
268,9.380000,3.815000,15.727392
348,12.180000,2.800000,21.428571
431,15.085000,2.905000,20.654045
522,18.270000,3.185000,18.838305
597,20.895000,2.625000,22.857143
703,24.605000,3.710000,16.172507
787,27.545000,2.940000,20.408163
886,31.010000,3.465000,17.316017
974,34.090000,3.080000,19.480519
1064,37.240000,3.150000,19.047619
1156,40.460000,3.220000,18.633540
1242,43.470000,3.010000,19.933555
1305,45.675000,2.205000,27.210884
1391,48.685000,3.010000,19.933555
1520,53.200000,4.515000,13.289037
