event_idx,t_s,dt_s,bpm_from_dt
13,0.455000,,
71,2.485000,2.030000,29.556650
140,4.900000,2.415000,24.844720
205,7.175000,2.275000,26.373626
268,9.380000,2.205000,27.210884
334,11.690000,2.310000,25.974026
398,13.930000,2.240000,26.785714
474,16.590000,2.660000,22.556391
528,18.480000,1.890000,31.746032
602,21.070000,2.590000,23.166023
678,23.730000,2.660000,22.556391
750,26.250000,2.520000,23.809524
803,28.105000,1.855000,32.345013
853,29.855000,1.750000,34.285714
908,31.780000,1.925000,31.168831
958,33.530000,1.750000,34.285714
1053,36.855000,3.325000,18.045113
1114,38.990000,2.135000,28.103044
1157,40.495000,1.505000,39.867110
1232,43.120000,2.625000,22.857143
1301,45.535000,2.415000,24.844720
1347,47.145000,1.610000,37.267081
1416,49.560000,2.415000,24.844720
1469,51.415000,1.855000,32.345013
1559,54.565000,3.150000,19.047619
