event_idx,t_s,dt_s,bpm_from_dt
19,0.665000,,
94,3.290000,2.625000,22.857143
162,5.670000,2.380000,25.210084
232,8.120000,2.450000,24.489796
298,10.430000,2.310000,25.974026
383,13.405000,2.975000,20.168067
441,15.435000,2.030000,29.556650
501,17.535000,2.100000,28.571429
564,19.740000,2.205000,27.210884
648,22.680000,2.940000,20.408163
705,24.675000,1.995000,30.075188
789,27.615000,2.940000,20.408163
851,29.785000,2.170000,27.649770
904,31.640000,1.855000,32.345013
962,33.670000,2.030000,29.556650
1017,35.595000,1.925000,31.168831
1094,38.290000,2.695000,22.263451
1155,40.425000,2.135000,28.103044
1210,42.350000,1.925000,31.168831
1271,44.485000,2.135000,28.103044
1378,48.230000,3.745000,16.021362
1464,51.240000,3.010000,19.933555
1538,53.830000,2.590000,23.166023
