event_idx,t_s,dt_s,bpm_from_dt
45,1.575000,,
115,4.025000,2.450000,24.489796
165,5.775000,1.750000,34.285714
232,8.120000,2.345000,25.586354
288,10.080000,1.960000,30.612245
350,12.250000,2.170000,27.649770
415,14.525000,2.275000,26.373626
488,17.080000,2.555000,23.483366
539,18.865000,1.785000,33.613445
595,20.825000,1.960000,30.612245
655,22.925000,2.100000,28.571429
711,24.885000,1.960000,30.612245
745,26.075000,1.190000,50.420168
807,28.245000,2.170000,27.649770
860,30.100000,1.855000,32.345013
920,32.200000,2.100000,28.571429
977,34.195000,1.995000,30.075188
1033,36.155000,1.960000,30.612245
1102,38.570000,2.415000,24.844720
1160,40.600000,2.030000,29.556650
1221,42.735000,2.135000,28.103044
1286,45.010000,2.275000,26.373626
1338,46.830000,1.820000,32.967033
1398,48.930000,2.100000,28.571429
1459,51.065000,2.135000,28.103044
1524,53.340000,2.275000,26.373626
1582,55.370000,2.030000,29.556650
