event_idx,t_s,dt_s,bpm_from_dt
107,3.745000,,
144,5.040000,1.295000,46.332046
182,6.370000,1.330000,45.112782
212,7.420000,1.050000,57.142857
260,9.100000,1.680000,35.714286
296,10.360000,1.260000,47.619048
335,11.725000,1.365000,43.956044
375,13.125000,1.400000,42.857143
416,14.560000,1.435000,41.811847
454,15.890000,1.330000,45.112782
493,17.255000,1.365000,43.956044
526,18.410000,1.155000,51.948052
563,19.705000,1.295000,46.332046
607,21.245000,1.540000,38.961039
640,22.400000,1.155000,51.948052
677,23.695000,1.295000,46.332046
716,25.060000,1.365000,43.956044
754,26.390000,1.330000,45.112782
794,27.790000,1.400000,42.857143
825,28.875000,1.085000,55.299539
877,30.695000,1.820000,32.967033
924,32.340000,1.645000,36.474164
975,34.125000,1.785000,33.613445
1018,35.630000,1.505000,39.867110
1056,36.960000,1.330000,45.112782
1102,38.570000,1.610000,37.267081
1137,39.795000,1.225000,48.979592
1186,41.510000,1.715000,34.985423
1224,42.840000,1.330000,45.112782
1273,44.555000,1.715000,34.985423
1307,45.745000,1.190000,50.420168
1361,47.635000,1.890000,31.746032
1407,49.245000,1.610000,37.267081
1454,50.890000,1.645000,36.474164
