event_idx,t_s,dt_s,bpm_from_dt
94,3.290000,,
163,5.705000,2.415000,24.844720
221,7.735000,2.030000,29.556650
304,10.640000,2.905000,20.654045
379,13.265000,2.625000,22.857143
436,15.260000,1.995000,30.075188
510,17.850000,2.590000,23.166023
577,20.195000,2.345000,25.586354
649,22.715000,2.520000,23.809524
725,25.375000,2.660000,22.556391
803,28.105000,2.730000,21.978022
876,30.660000,2.555000,23.483366
971,33.985000,3.325000,18.045113
1066,37.310000,3.325000,18.045113
1153,40.355000,3.045000,19.704433
1227,42.945000,2.590000,23.166023
1302,45.570000,2.625000,22.857143
1377,48.195000,2.625000,22.857143
1461,51.135000,2.940000,20.408163
1566,54.810000,3.675000,16.326531
