event_idx,t_s,dt_s,bpm_from_dt
63,2.205000,,
191,6.685000,4.480000,13.392857
297,10.395000,3.710000,16.172507
411,14.385000,3.990000,15.037594
499,17.465000,3.080000,19.480519
635,22.225000,4.760000,12.605042
738,25.830000,3.605000,16.643551
845,29.575000,3.745000,16.021362
942,32.970000,3.395000,17.673049
1032,36.120000,3.150000,19.047619
1104,38.640000,2.520000,23.809524
1188,41.580000,2.940000,20.408163
1268,44.380000,2.800000,21.428571
1382,48.370000,3.990000,15.037594
1496,52.360000,3.990000,15.037594
