event_idx,t_s,dt_s,bpm_from_dt
51,1.785000,,
93,3.255000,1.470000,40.816327
148,5.180000,1.925000,31.168831
191,6.685000,1.505000,39.867110
253,8.855000,2.170000,27.649770
302,10.570000,1.715000,34.985423
373,13.055000,2.485000,24.144869
417,14.595000,1.540000,38.961039
479,16.765000,2.170000,27.649770
530,18.550000,1.785000,33.613445
600,21.000000,2.450000,24.489796
657,22.995000,1.995000,30.075188
720,25.200000,2.205000,27.210884
777,27.195000,1.995000,30.075188
850,29.750000,2.555000,23.483366
903,31.605000,1.855000,32.345013
959,33.565000,1.960000,30.612245
1017,35.595000,2.030000,29.556650
1079,37.765000,2.170000,27.649770
1138,39.830000,2.065000,29.055690
1199,41.965000,2.135000,28.103044
1252,43.820000,1.855000,32.345013
1321,46.235000,2.415000,24.844720
1376,48.160000,1.925000,31.168831
1431,50.085000,1.925000,31.168831
1484,51.940000,1.855000,32.345013
1537,53.795000,1.855000,32.345013
