event_idx,t_s,dt_s,bpm_from_dt
24,0.840000,,
78,2.730000,1.890000,31.746032
136,4.760000,2.030000,29.556650
193,6.755000,1.995000,30.075188
240,8.400000,1.645000,36.474164
292,10.220000,1.820000,32.967033
337,11.795000,1.575000,38.095238
397,13.895000,2.100000,28.571429
446,15.610000,1.715000,34.985423
499,17.465000,1.855000,32.345013
546,19.110000,1.645000,36.474164
595,20.825000,1.715000,34.985423
652,22.820000,1.995000,30.075188
698,24.430000,1.610000,37.267081
747,26.145000,1.715000,34.985423
799,27.965000,1.820000,32.967033
860,30.100000,2.135000,28.103044
911,31.885000,1.785000,33.613445
960,33.600000,1.715000,34.985423
1009,35.315000,1.715000,34.985423
1057,36.995000,1.680000,35.714286
1108,38.780000,1.785000,33.613445
1157,40.495000,1.715000,34.985423
1207,42.245000,1.750000,34.285714
1264,44.240000,1.995000,30.075188
1320,46.200000,1.960000,30.612245
1374,48.090000,1.890000,31.746032
1434,50.190000,2.100000,28.571429
1487,52.045000,1.855000,32.345013
1547,54.145000,2.100000,28.571429
