event_idx,t_s,dt_s,bpm_from_dt
47,1.645000,,
126,4.410000,2.765000,21.699819
187,6.545000,2.135000,28.103044
271,9.485000,2.940000,20.408163
365,12.775000,3.290000,18.237082
472,16.520000,3.745000,16.021362
559,19.565000,3.045000,19.704433
652,22.820000,3.255000,18.433180
735,25.725000,2.905000,20.654045
789,27.615000,1.890000,31.746032
902,31.570000,3.955000,15.170670
998,34.930000,3.360000,17.857143
1072,37.520000,2.590000,23.166023
1203,42.105000,4.585000,13.086150
1323,46.305000,4.200000,14.285714
1425,49.875000,3.570000,16.806723
1508,52.780000,2.905000,20.654045
1612,56.420000,3.640000,16.483516
