event_idx,t_s,dt_s,bpm_from_dt
18,0.630000,,
133,4.655000,4.025000,14.906832
240,8.400000,3.745000,16.021362
329,11.515000,3.115000,19.261637
459,16.065000,4.550000,13.186813
582,20.370000,4.305000,13.937282
673,23.555000,3.185000,18.838305
787,27.545000,3.990000,15.037594
888,31.080000,3.535000,16.973126
964,33.740000,2.660000,22.556391
1035,36.225000,2.485000,24.144869
1105,38.675000,2.450000,24.489796
1174,41.090000,2.415000,24.844720
1297,45.395000,4.305000,13.937282
1397,48.895000,3.500000,17.142857
1471,51.485000,2.590000,23.166023
