event_idx,t_s,dt_s,bpm_from_dt
64,2.240000,,
190,6.650000,4.410000,13.605442
322,11.270000,4.620000,12.987013
467,16.345000,5.075000,11.822660
561,19.635000,3.290000,18.237082
659,23.065000,3.430000,17.492711
756,26.460000,3.395000,17.673049
856,29.960000,3.500000,17.142857
942,32.970000,3.010000,19.933555
1033,36.155000,3.185000,18.838305
1117,39.095000,2.940000,20.408163
1236,43.260000,4.165000,14.405762
1333,46.655000,3.395000,17.673049
1404,49.140000,2.485000,24.144869
1508,52.780000,3.640000,16.483516
