event_idx,t_s,dt_s,bpm_from_dt
74,2.590000,,
169,5.915000,3.325000,18.045113
220,7.700000,1.785000,33.613445
322,11.270000,3.570000,16.806723
392,13.720000,2.450000,24.489796
466,16.310000,2.590000,23.166023
535,18.725000,2.415000,24.844720
621,21.735000,3.010000,19.933555
711,24.885000,3.150000,19.047619
794,27.790000,2.905000,20.654045
863,30.205000,2.415000,24.844720
914,31.990000,1.785000,33.613445
999,34.965000,2.975000,20.168067
1066,37.310000,2.345000,25.586354
1141,39.935000,2.625000,22.857143
1198,41.930000,1.995000,30.075188
1304,45.640000,3.710000,16.172507
1376,48.160000,2.520000,23.809524
1453,50.855000,2.695000,22.263451
1507,52.745000,1.890000,31.746032
