event_idx,t_s,dt_s,bpm_from_dt
75,2.625000,,
177,6.195000,3.570000,16.806723
271,9.485000,3.290000,18.237082
358,12.530000,3.045000,19.704433
421,14.735000,2.205000,27.210884
507,17.745000,3.010000,19.933555
559,19.565000,1.820000,32.967033
661,23.135000,3.570000,16.806723
784,27.440000,4.305000,13.937282
882,30.870000,3.430000,17.492711
945,33.075000,2.205000,27.210884
1055,36.925000,3.850000,15.584416
1136,39.760000,2.835000,21.164021
1190,41.650000,1.890000,31.746032
1259,44.065000,2.415000,24.844720
1359,47.565000,3.500000,17.142857
1415,49.525000,1.960000,30.612245
1507,52.745000,3.220000,18.633540
