event_idx,t_s,dt_s,bpm_from_dt
95,3.325000,,
211,7.385000,4.060000,14.778325
332,11.620000,4.235000,14.167651
439,15.365000,3.745000,16.021362
560,19.600000,4.235000,14.167651
652,22.820000,3.220000,18.633540
768,26.880000,4.060000,14.778325
842,29.470000,2.590000,23.166023
952,33.320000,3.850000,15.584416
1039,36.365000,3.045000,19.704433
1125,39.375000,3.010000,19.933555
1225,42.875000,3.500000,17.142857
1295,45.325000,2.450000,24.489796
1395,48.825000,3.500000,17.142857
1484,51.940000,3.115000,19.261637
1583,55.405000,3.465000,17.316017
