event_idx,t_s,dt_s,bpm_from_dt
7,0.245000,,
70,2.450000,2.205000,27.210884
158,5.530000,3.080000,19.480519
234,8.190000,2.660000,22.556391
309,10.815000,2.625000,22.857143
397,13.895000,3.080000,19.480519
468,16.380000,2.485000,24.144869
525,18.375000,1.995000,30.075188
577,20.195000,1.820000,32.967033
643,22.505000,2.310000,25.974026
686,24.010000,1.505000,39.867110
745,26.075000,2.065000,29.055690
839,29.365000,3.290000,18.237082
885,30.975000,1.610000,37.267081
933,32.655000,1.680000,35.714286
975,34.125000,1.470000,40.816327
1025,35.875000,1.750000,34.285714
1106,38.710000,2.835000,21.164021
1197,41.895000,3.185000,18.838305
1240,43.400000,1.505000,39.867110
1289,45.115000,1.715000,34.985423
1331,46.585000,1.470000,40.816327
1390,48.650000,2.065000,29.055690
1442,50.470000,1.820000,32.967033
1523,53.305000,2.835000,21.164021
