event_idx,t_s,dt_s,bpm_from_dt
97,3.395000,,
191,6.685000,3.290000,18.237082
282,9.870000,3.185000,18.838305
386,13.510000,3.640000,16.483516
448,15.680000,2.170000,27.649770
500,17.500000,1.820000,32.967033
599,20.965000,3.465000,17.316017
667,23.345000,2.380000,25.210084
744,26.040000,2.695000,22.263451
823,28.805000,2.765000,21.699819
910,31.850000,3.045000,19.704433
987,34.545000,2.695000,22.263451
1052,36.820000,2.275000,26.373626
1144,40.040000,3.220000,18.633540
1222,42.770000,2.730000,21.978022
1279,44.765000,1.995000,30.075188
1349,47.215000,2.450000,24.489796
1458,51.030000,3.815000,15.727392
