file,src,duration_s,events,T0_med_s,est_bpm,bpm_out,has_breath,confidence,max_votes,mean_votes,peak_ratio,band_ratio,crop_start_idx,crop_end_idx,crop_len,out_csv,out_png
10_16,RDI,58.205000,14,4.001667,15.037594,15.037594,True,0.900000,12.000000,0.182802,65.644736,0.472589,52,1715,1663,C:\Users\macho\Desktop\py389\0122T\out_gated_all\10_16_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\10_16_plot.png
11_17,RDI,58.100000,16,4.001667,16.483516,16.483516,True,0.900000,12.000000,0.228916,52.421052,0.610747,55,1715,1660,C:\Users\macho\Desktop\py389\0122T\out_gated_all\11_17_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\11_17_plot.png
12_17,RDI,58.135000,17,3.501458,17.857143,17.857143,True,0.900000,12.000000,0.216737,55.366666,0.542717,54,1715,1661,C:\Users\macho\Desktop\py389\0122T\out_gated_all\12_17_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\12_17_plot.png
13_16,RDI,58.170000,10,6.002500,9.577015,9.577015,True,0.900000,12.000000,0.151625,79.142857,0.674220,53,1715,1662,C:\Users\macho\Desktop\py389\0122T\out_gated_all\13_16_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\13_16_plot.png
14_15,RDI,58.170000,14,4.001667,16.172507,16.172507,True,0.900000,12.000000,0.214200,56.022472,0.532748,53,1715,1662,C:\Users\macho\Desktop\py389\0122T\out_gated_all\14_15_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\14_15_plot.png
15_16,RDI,58.170000,15,4.001667,16.326531,16.326531,True,0.900000,12.000000,0.163658,73.323529,0.595885,53,1715,1662,C:\Users\macho\Desktop\py389\0122T\out_gated_all\15_16_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\15_16_plot.png
16_15,RDI,58.065000,18,4.001667,18.633540,18.633540,True,0.900000,12.000000,0.236287,50.785714,0.573999,56,1715,1659,C:\Users\macho\Desktop\py389\0122T\out_gated_all\16_15_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\16_15_plot.png
17_14,RDI,58.205000,15,4.001667,15.238095,15.238095,True,0.900000,12.000000,0.209260,57.344827,0.613817,52,1715,1663,C:\Users\macho\Desktop\py389\0122T\out_gated_all\17_14_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\17_14_plot.png
18_16,RDI,58.135000,15,4.001667,17.492711,17.492711,True,0.900000,12.000000,0.161349,74.373134,0.729624,54,1715,1661,C:\Users\macho\Desktop\py389\0122T\out_gated_all\18_16_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\18_16_plot.png
19_15,RDI,58.170000,26,2.401000,30.075188,30.075188,True,0.900000,12.000000,0.271961,44.123894,0.716668,53,1715,1662,C:\Users\macho\Desktop\py389\0122T\out_gated_all\19_15_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\19_15_plot.png
1_12_slow,RDI,58.065000,16,4.001667,19.480519,19.480519,True,0.900000,12.000000,0.214587,55.921348,0.772550,56,1715,1659,C:\Users\macho\Desktop\py389\0122T\out_gated_all\1_12_slow_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\1_12_slow_plot.png
